"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"06/11/2020","62,38","63,19","1,02","62,34","63,96","1,68B"
"05/11/2020","62,30","62,55","1,58","61,45","63,06","1,60B"
"04/11/2020","63,28","61,58","-2,78","61,45","63,28","1,68B"
"03/11/2020","61,90","63,34","4,61","61,22","63,34","2,05B"
"30/10/2020","61,80","60,55","-2,37","60,01","62,41","1,67B"
"29/10/2020","60,97","62,02","2,92","59,79","62,24","2,32B"
"28/10/2020","61,95","60,26","-3,63","60,25","62,07","1,43B"
"27/10/2020","62,50","62,53","0,05","62,06","62,90","1,12B"
"26/10/2020","62,90","62,50","-1,50","62,01","63,45","1,14B"
"23/10/2020","62,62","63,45","0,55","62,22","63,89","1,52B"
"22/10/2020","63,11","63,10","0,40","62,44","63,49","2,02B"
"21/10/2020","61,65","62,85","1,63","61,60","63,21","1,34B"
"20/10/2020","61,78","61,84","-0,18","61,33","62,29","1,56B"
"19/10/2020","62,73","61,95","-0,47","61,95","63,18","1,82B"
"16/10/2020","62,70","62,24","-0,37","62,24","63,10","988,54M"
"15/10/2020","62,41","62,47","-0,84","61,98","62,86","1,02B"
"14/10/2020","62,08","63,00","1,38","62,04","63,29","1,38B"
"13/10/2020","61,27","62,14","0,88","61,03","62,64","1,14B"
"09/10/2020","61,69","61,60","0,51","60,85","61,94","1,29B"
"08/10/2020","60,35","61,29","1,86","60,06","61,49","1,35B"
"07/10/2020","59,14","60,17","2,64","58,96","60,76","1,62B"
"06/10/2020","60,01","58,62","-1,63","58,21","60,28","1,29B"
"05/10/2020","58,90","59,59","2,18","58,75","59,84","1,06B"
"02/10/2020","58,61","58,32","-0,92","58,11","59,44","1,36B"
"01/10/2020","59,53","58,86","-0,42","58,02","59,85","1,32B"
"30/09/2020","59,21","59,11","1,30","58,75","60,27","1,53B"
"29/09/2020","58,73","58,35","-0,73","58,35","59,96","1,54B"
"28/09/2020","59,94","58,78","-0,79","58,70","60,24","1,78B"
"25/09/2020","58,35","59,25","1,01","58,20","59,45","1,62B"
"24/09/2020","59,69","58,66","-0,74","58,44","59,78","1,86B"
"23/09/2020","57,67","59,10","2,23","57,06","59,61","2,18B"
"22/09/2020","58,14","57,81","0,38","57,15","58,28","1,37B"
"21/09/2020","58,60","57,59","-2,69","57,05","58,92","3,04B"
"18/09/2020","59,97","59,18","-0,68","59,18","60,57","1,96B"
"17/09/2020","57,97","59,59","1,82","57,70","59,91","1,85B"
"16/09/2020","59,82","58,52","-2,60","58,21","59,99","1,67B"
"15/09/2020","60,19","60,09","1,11","59,65","61,09","1,96B"
"14/09/2020","60,28","59,42","-0,06","58,91","60,81","2,11B"
"11/09/2020","57,64","59,46","5,84","57,44","59,80","2,70B"
"10/09/2020","57,59","56,18","-2,45","55,98","57,78","1,08B"
"09/09/2020","57,49","57,59","1,23","56,99","57,91","940,99M"
"08/09/2020","57,20","56,89","-2,02","56,54","57,36","828,74M"
"04/09/2020","57,31","58,06","1,97","56,34","58,07","1,52B"
"03/09/2020","57,59","56,94","-3,26","56,49","58,12","2,05B"
"02/09/2020","59,41","58,86","-0,71","57,90","59,84","1,27B"
"01/09/2020","57,87","59,28","3,49","57,78","59,31","1,42B"
"31/08/2020","58,65","57,28","-2,32","57,28","58,69","1,17B"
"28/08/2020","58,72","58,65","0,51","58,19","59,22","880,17M"
"27/08/2020","59,21","58,35","-1,55","57,91","59,68","1,05B"
"26/08/2020","59,18","59,27","0,21","58,78","59,85","1,41B"
"25/08/2020","60,28","59,15","-2,13","58,60","60,32","1,38B"
"24/08/2020","60,41","60,43","1,22","59,74","60,59","1,07B"
"21/08/2020","59,90","59,70","-1,19","59,04","60,27","1,62B"
"20/08/2020","59,34","60,42","0,90","59,19","60,95","1,55B"
"19/08/2020","60,86","59,88","-1,06","59,83","61,31","1,42B"
"18/08/2020","60,76","60,53","1,33","60,33","61,14","1,95B"
