,,,
,,,
,,,
,,,
,,,
,,31 de dezembro de 2019,31 de dezembro de 2018
,Ativo,,
,Ativo circulante,,
,Caixa e equivalentes de caixa,29.627,22.413
,Aplicações financeiras de curto prazo,3.329,125
,Contas a receber,10.195,10.261
,Outros ativos financeiros,3.062,1.558
,Estoques,17.228,17.216
,Tributos antecipados sobre o lucro,1.492,2.104
,Tributos a recuperar,2.227,3.422
,Outros,1.538,2.157
,,68.698,59.256
,,,
,Ativo não circulante,,
,Depósitos judiciais,12.734,6.649
,Outros ativos financeiros,10.969,12.180
,Tributos antecipados sobre o lucro,2.407,2.107
,Tributos a recuperar,2.446,2.913
,Tributos diferidos sobre o lucro,37.151,26.767
,Outros,1.998,1.015
,,67.705,51.631
,,,
,Investimentos,11.278,12.495
,Intangíveis,34.257,30.850
,Imobilizado,187.733,187.481
,,233.268,230.826
,,,
,Total do ativo,369.671,341.713
,,,
,Passivo,,
,Passivo circulante,,
,Fornecedores e empreiteiros,16.556,13.610
,Empréstimos e financiamentos,4.895,3.889
,Arrendamentos,910,0
,Outros passivos financeiros,4.328,6.213
,Tributos a recolher,2.065,1.659
,"Programa de refinanciamento (""REFIS"")",1.737,1.673
,Passivos relacionados a participação em coligadas e joint ventures,2.079,1.120
,Provisões,4.956,5.278
,Passivos relacionados a Brumadinho,6.319,0
,Descaracterização das barragens,1.247,0
,Juros sobre o capital próprio,6.333,0
,Outros,4.381,1.843
,,55.806,35.285
,,,
,Passivo não circulante,,
,Empréstimos e financiamentos,47.730,56.039
,Arrendamentos,6.308,0
,Outros passivos financeiros,17.622,11.155
,"Programa de refinanciamento (""REFIS"")",14.012,15.179
,Tributos diferidos sobre o lucro,7.585,5.936
,Provisões,34.233,27.491
,Passivos relacionados a Brumadinho,5.703,0
,Descaracterização das barragens,8.787,0
,Passivos relacionados a participação em coligadas e joint ventures,4.774,3.226
,Transações de streaming,8.313,8.886
,Outros,1.649,4.833
,,156.716,132.745
,Total do passivo,212.522,168.030
,,,
,Patrimônio líquido,,
,Patrimônio líquido dos acionistas da Vale,161.480,170.403
,Patrimônio líquido dos acionistas não controladores,-4.331,3.280
,Total do patrimônio líquido,157.149,173.683
,Total do passivo e patrimônio líquido,369.671,341.713
,,,
,"Demonstração do Resultado - Vale S/A - em milhões de reais, exceto o lucro por ações",,
,,,
,,31 de dezembro de 2019,31 de dezembro de 2018
,Operações continuadas,,
,"Receita de vendas, líquida",148.640,134.483
,Custo dos produtos vendidos e serviços prestados,-83.836,-81.201
,Lucro bruto,64.804,53.282
,,,
,Receitas (despesas) operacionais,,
,Com vendas e administrativas,-1.924,-1.917
,Pesquisa e desenvolvimento,-1.765,-1.376
,Pré-operacionais e paradas de operação,-4.559,-984
,Evento de Brumadinho,-28.818,0
,"Outras despesas operacionais, líquidas",-2.052,-1.613
,,-39.118,-5.890
,Redução ao valor recuperável e baixas de ativos não circulantes,-20.762,-3.523
,Lucro operacional,4.924,43.869
,,,
,Receitas financeiras,2.092,1.549
,Despesas financeiras,-14.973,-8.394
,"Outros itens financeiros, líquido",-565,-11.213
,Resultado de participações e outros resultados em coligadas e joint ventures,-2.684,-693
,Lucro (prejuízo) antes dos tributos sobre o lucro,-11.206,25.118
,,,
,Tributos sobre o lucro,,
,Tributo corrente,-5.985,-2.806
,Tributo diferido,8.494,3.772
,,2.509,966
,,,
,Lucro líquido (prejuízo) das operações continuadas,-8.697,26.084
,Lucro líquido (prejuízo) atribuído aos acionistas não controladores,-2.025,117
,Lucro líquido (prejuízo) das operações continuadas atribuído aos acionistas da Vale,-6.672,25.967
,,,
,Operações descontinuadas,,
,Prejuízo proveniente das operações descontinuadas,0,-310
,Prejuízo das operações descontinuadas atribuído aos acionistas da Vale,0,-310
,,,
,Lucro líquido (prejuízo),-8.697,26.084
,Lucro líquido (prejuízo) atribuído aos acionistas não controladores,-2.025,117
,Lucro líquido (prejuízo) atribuído aos acionistas da Vale,-6.672,25.967
